original	reordered
Ecken Claude	Claude Ecken
Garbe Claude	Claude Garbe
Genia Claude	Claude Genia
Gensac Claude	Claude Gensac
Gevel Claude	Claude Gevel
Gregory Claude	Claude Gregory
Herval Claude	Claude Herval
Leblond Claude	Claude Leblond
Ligonie Claude	Claude Ligonie
Marquie Claude	Claude Marquie
Martin Claude	Claude Martin
Morin Claude	Claude Morin
Nicot Claude	Claude Nicot
Nollier Claude	Claude Nollier
Orval Claude	Claude Orval
Pasquier Claude	Claude Pasquier
Piéplu Claude	Claude Piéplu
Rich Claude	Claude Rich
Richard Claude	Claude Richard
Rollet Claude	Claude Rollet
Vadel Claude	Claude Vadel
Vernier Claude	Claude Vernier
Berg Claudine	Claudine Berg
Cheret Claudine	Claudine Cheret
Coster Claudine	Claudine Coster
Bairam Clément	Clément Bairam
Castel Colette	Colette Castel
Richard Colette	Colette Richard
Ripert Colette	Colette Ripert
Teissedre Colette	Colette Teissedre
Robertson Colin	Colin Robertson
Thibert Colin	Colin Thibert
Marchand Corinne	Corinne Marchand
Bremont Daniel	Daniel Bremont
Colas Daniel	Daniel Colas
Emilfork Daniel	Daniel Emilfork
Gall Daniel	Daniel Gall
Ivernel Daniel	Daniel Ivernel
Lebrun Daniel	Daniel Lebrun
Toursière Daniel	Daniel Toursière
Viciana Daniel	Daniel Viciana
Ajoret Danièle	Danièle Ajoret
Delorme Danièle	Danièle Delorme
Lebrun Danièle	Danièle Lebrun
Volle Danielle	Danielle Volle
Stratford Davis	Davis Stratford
Daniel Denis	Denis Daniel
Diderot Denis	Denis Diderot
Manuel Denis	Denis Manuel
Savignat Denis	Denis Savignat
Benoit Denise	Denise Benoit
Bosc Denise	Denise Bosc
Gence Denise	Denise Gence
Gens Denise	Denise Gens
Grey Denise	Denise Grey
Montreal Denise	Denise Montreal
Blonay Didier	Didier Blonay
Conti Didier	Didier Conti
Haudepin Didier	Didier Haudepin
Rousset Didier	Didier Rousset
Aubert Dominique	Dominique Aubert
Bailly Dominique	Dominique Bailly
Buckardt Dominique	Dominique Buckardt
Davray Dominique	Dominique Davray
Foufelle Dominique	Dominique Foufelle
Jayr Dominique	Dominique Jayr
Page Dominique	Dominique Page
Paquet Dominique	Dominique Paquet
Paturel Dominique	Dominique Paturel
Tirmont Dominique	Dominique Tirmont
Vincent Dominique	Dominique Vincent
Doll Dora	Dora Doll
Sayers Dorothy	Dorothy Sayers
Babet Doudou	Doudou Babet
Ky Duyen	Duyen Ky
Loria Edith	Edith Loria
Scob Edith	Edith Scob
Ardisson Edmond	Edmond Ardisson
Constans Edmond	Edmond Constans
Liorel Edmond	Edmond Liorel
Tamiz Edmond	Edmond Tamiz
Sherry Edna	Edna Sherry
Estaunie Edouard	Edouard Estaunie
Lanham Edwin	Edwin Lanham
Moatti Edwine	Edwine Moatti
Maingot Eliane	Eliane Maingot
Berthet Elie	Elie Berthet
Gentet Elisabeth	Elisabeth Gentet
Salvaresi Elisabeth	Elisabeth Salvaresi
Damia Ema	Ema Damia
Gaboriau Emile	Emile Gaboriau
Riandreys Emile	Emile Riandreys
Ciepka Emmanuel	Emmanuel Ciepka
Assous Eric	Eric Assous
Colin Eric	Eric Colin
Legrand Eric	Eric Legrand
Peter Eric	Eric Peter
Bierry Etienne	Etienne Bierry
Moreau Eugène	Eugène Moreau
Sue Eugène	Eugène Sue
Darlan Eva	Eva Darlan
Griliquez Eve	Eve Griliquez
Séléna Evelyn	Evelyn Séléna
Dandry Evelyne	Evelyne Dandry
Dress Evelyne	Evelyne Dress
Frémy Evelyne	Evelyne Frémy
Gabrielli Evelyne	Evelyne Gabrielli
Ker Evelyne	Evelyne Ker
Kerr Evelyne	Evelyne Kerr
Langey Evelyne	Evelyne Langey
Robiane Fanny	Fanny Robiane
Rauzena Fernand	Fernand Rauzena
Sardou Fernand	Fernand Sardou
Walter Fiamma	Fiamma Walter
Fitzgerald Flore	Flore Fitzgerald
Blot Florence	Florence Blot
Brière Florence	Florence Brière
Prévost Floriane	Floriane Prévost
Delahalle France	France Delahalle
Descaut France	France Descaut
Marie France-chanteuse	France-chanteuse Marie
Vernillat Francette	Francette Vernillat
Bergé Francine	Francine Bergé
Laine Francine	Francine Laine
Crémieux Francis	Francis Crémieux
Didelot Francis	Francis Didelot
Geraud Francis	Francis Geraud
Capillery Franck	Franck Capillery
Barluet François	François Barluet
Billetdoux François	François Billetdoux
Chaumette François	François Chaumette
Chevais François	François Chevais
Chodat François	François Chodat
Darbon François	François Darbon
Gamard François	François Gamard
Maistre François	François Maistre
Marthouret François	François Marthouret
Morel François	François Morel
Nocher François	François Nocher
Périer François	François Périer
Rémy François	François Rémy
Tarrancle François	François Tarrancle
Timmory François	François Timmory
Vibert François	François Vibert
Cingal Françoise	Françoise Cingal
Dasque Françoise	Françoise Dasque
Fabian Françoise	Françoise Fabian
Faure Françoise	Françoise Faure
Favier Françoise	Françoise Favier
Fechter Françoise	Françoise Fechter
Fouquet Françoise	Françoise Fouquet
Hornez Françoise	Françoise Hornez
Jacquet Françoise	Françoise Jacquet
Jacquier Françoise	Françoise Jacquier
Rosay Françoise	Françoise Rosay
Soulié Françoise	Françoise Soulié
Vatel Françoise	Françoise Vatel
Fisher Fred	Fred Fisher
Kassak Fred	Fred Kassak
Personne Fred	Fred Personne
Cerdal Frédéric	Frédéric Cerdal
Fabre Frédéric	Frédéric Fabre
Hoë Frédéric	Frédéric Hoë
Valmain Frédéric	Frédéric Valmain
Valmont Frédéric	Frédéric Valmont
Cantrel Frédérique	Frédérique Cantrel
Dürrenmatt Friedrich	Friedrich Dürrenmatt
Gobin Gabriel	Gabriel Gobin
Centanini Gabrielle	Gabrielle Centanini
Doulcet Gabrielle	Gabrielle Doulcet
Fontan Gabrielle	Gabrielle Fontan
Basset Gaby	Gaby Basset
Romande Gaëlle	Gaëlle Romande
Jor Gaétan	Gaétan Jor
Vacchia Gaston	Gaston Vacchia
Baroux Geneviève	Geneviève Baroux
Brunet Geneviève	Geneviève Brunet
Lacheze Geneviève	Geneviève Lacheze
Manceron Geneviève	Geneviève Manceron
Morel Geneviève	Geneviève Morel
Page Geneviève	Geneviève Page
Wallery Geo	Geo Wallery
Aminel Georges	Georges Aminel
Aubert Georges	Georges Aubert
Audoubert Georges	Georges Audoubert
Beauvilliers Georges	Georges Beauvilliers
Carmier Georges	Georges Carmier
Chamarat Georges	Georges Chamarat
Coste Georges	Georges Coste
Godebert Georges	Georges Godebert
Gravier Georges	Georges Gravier
Ohnet Georges	Georges Ohnet
Peyrou Georges	Georges Peyrou
Sellier Georges	Georges Sellier
Villemier Georges	Georges Villemier
Vittel Georges	Georges Vittel
Wilson Georges	Georges Wilson
Heyer Georgette	Georgette Heyer
Morales Gérald	Gérald Morales
Darrieu Gérard	Gérard Darrieu
Dournel Gérard	Gérard Dournel
Fallec Gérard	Gérard Fallec
Gervais Gérard	Gérard Gervais
Hespel Gérard	Gérard Hespel
Lartigau Gérard	Gérard Lartigau
Laureau Gérard	Gérard Laureau
Levoyer Gérard	Gérard Levoyer
Monetay Gérard	Gérard Monetay
Séty Gérard	Gérard Séty
Thirion Gérard	Gérard Thirion
Beaumont Germaine	Germaine Beaumont
Decrest Germaine	Germaine Decrest
Delbat Germaine	Germaine Delbat
Kerjean Germaine	Germaine Kerjean
Caseneuve Gilbert	Gilbert Caseneuve
Hédard Gilbert	Gilbert Hédard
Levy Gilbert	Gilbert Levy
Picard Gilbert	Gilbert Picard
Roussel Gilbert	Gilbert Roussel
Sigaux Gilbert	Gilbert Sigaux
Amado Gilles	Gilles Amado
Astorg Gilles	Gilles Astorg
Guillot Gilles	Gilles Guillot
Warga Gilles	Gilles Warga
Franck Ginette	Ginette Franck
Leclerc Ginette	Ginette Leclerc
Pigeon Ginette	Ginette Pigeon
Casadesus Gisèle	Gisèle Casadesus
Grimm Gisèle	Gisèle Grimm
Touret Gisèle	Gisèle Touret
Pascal Giselle	Giselle Pascal
Kergourlay Guillaume	Guillaume Kergourlay
Bousquet Guy	Guy Bousquet
Bréjac Guy	Guy Bréjac
Decomble Guy	Guy Decomble
Delaunay Guy	Guy Delaunay
Fau Guy	Guy Fau
Gentilhomme Guy	Guy Gentilhomme
Louvet Guy	Guy Louvet
Piérauld Guy	Guy Piérauld
Rotter Guy	Guy Rotter
Tréjan Guy	Guy Tréjan
Benglia Habib	Habib Benglia
Verner Hans	Hans Verner
Krimer Harry	Harry Krimer
Dieudonné Hélène	Hélène Dieudonné
Duc Hélène	Hélène Duc
Garaud Hélène	Hélène Garaud
Martin Hélène	Hélène Martin
Misserly Hélène	Hélène Misserly
Sauvaneix Hélène	Hélène Sauvaneix
Belli Henri	Henri Belli
Courseaux Henri	Henri Courseaux
Crémieux Henri	Henri Crémieux
Crespi Henri	Henri Crespi
Darbrey Henri	Henri Darbrey
Dassa Henri	Henri Dassa
Gilabert Henri	Henri Gilabert
Grangé Henri	Henri Grangé
Guisol Henri	Henri Guisol
Kubnick Henri	Henri Kubnick
Labussière Henri	Henri Labussière
Mitton Henri	Henri Mitton
Nassiet Henri	Henri Nassiet
Nova Henri	Henri Nova
Poirier Henri	Henri Poirier
Rollan Henri	Henri Rollan
Rolland Henri	Henri Rolland
Soubeyran Henri	Henri Soubeyran
Vilbert Henri	Henri Vilbert
Virlojeux Henri	Henri Virlojeux
Mcclelland Henriette	Henriette Mcclelland
Bordeaux Henry	Henry Bordeaux
Courseaux Henry	Henry Courseaux
Djanik Henry	Henry Djanik
Ojani Henry	Henry Ojani
Breuil Hervé	Hervé Breuil
Colombel Hervé	Hervé Colombel
Renault Herveline	Herveline Renault
